indegree	outdegree	symptom
discrete	discrete	discrete
		class
0	3	0
0	19	0
1	34	0
4	79	1
0	15	0
5	17	0
2	37	1
531	38	1
139	46	1
6	85	1
57	31	1
10	21	1
0	22	0
202	32	1
1	10	0
6	7	1
0	16	0
0	74	0
0	28	0
0	12	0
0	53	0
198	48	1
0	29	0
0	35	0
2	11	0
0	23	0
0	51	1
53	42	0
4	15	1
2	13	1
0	31	0
0	14	0
1	47	0
2	12	0
6	43	0
3	0	0
2	20	0
0	22	0
0	12	0
0	8	0
0	10	1
2	7	0
13	17	0
1	23	0
6	27	0
0	9	0
0	12	1
121	51	1
59	55	1
1	32	1
0	22	0
0	30	0
0	7	0
118	16	1
0	16	0
18	81	1
1	10	1
72	53	1
143	64	1
0	82	0
120	27	1
2	116	1
51	44	1
9	21	0
0	33	0
0	11	0
4	22	0
7	19	0
1	12	0
0	18	0
0	24	0
0	13	0
0	0	0
1	37	0
1	16	0
0	10	0
18	102	1
231	33	1
120	27	1
0	38	1
5	34	1
0	22	0
0	31	0
0	53	0
37	42	1
3	41	1
2	45	1
0	22	1
0	33	0
90	59	1
0	7	0
0	21	0
1	0	0
1	17	1
0	33	1
61	28	1
47	14	1
30	25	1
0	6	1
0	16	0
0	9	0
2	17	1
60	34	1
0	37	1
1	20	0
66	22	1
1	29	1
41	29	1
39	27	0
45	18	1
81	50	1
40	15	1
57	31	1
1	7	0
56	66	1
1	31	0
4	25	0
15	17	1
0	35	1
32	70	1
136	24	1
99	26	1
1	19	1
11	10	1
77	49	1
11	13	1
2	23	1
2	4	1
0	20	1
0	0	0
0	23	0
0	13	0
1	27	1
0	22	0
1	15	0
47	73	0
3	22	1
1	14	0
18	93	1
7	8	0
0	9	0
0	53	1
16	12	1
73	29	1
127	31	1
64	22	1
1	13	1
21	29	1
1	29	1
1	28	1
0	8	0
1	16	0
0	29	0
0	14	0
0	15	0
5	9	0
4	34	1
162	28	1
3	10	0
0	40	1
0	26	0
20	16	1
24	102	1
26	99	1
17	19	1
0	11	0
127	41	1
71	16	1
120	27	1
1	21	1
0	20	0
0	27	0
62	56	1
57	44	0
0	83	0
0	16	0
2	76	0
2	8	0
0	13	0
0	20	0
1	2	0
3	13	0
1	21	0
0	6	0
0	10	0
0	18	0
0	13	0
0	11	0
2	13	0
0	14	0
0	48	1
2	89	0
120	43	1
49	43	1
0	65	1
25	21	1
20	16	1
0	22	0
11	38	1
0	23	1
367	35	1
220	41	1
121	27	1
2	32	1
118	35	1
0	17	0
0	25	0
212	65	1
0	22	1
0	25	0
0	20	0
0	21	0
0	14	0
0	23	0
1	10	0
288	16	0
0	13	0
0	27	0
1	13	0
2	36	1
0	26	0
25	16	1
60	52	1
23	48	1
0	13	1
0	16	0
0	77	1
7	20	1
7	24	1
6	18	0
1	36	1
2	25	0
0	22	0
1	16	0
0	25	0
0	7	0
23	76	1
436	71	1
0	18	0
0	27	0
3	10	0
0	26	0
89	36	1
0	8	0
266	63	1
42	13	1
4	61	1
6	51	1
0	51	1
12	42	1
0	3	0
1	11	0
0	28	0
2	18	0
7	53	1
0	16	0
47	19	0
0	32	0
1	19	0
4	19	0
1	61	0
0	5	1
1	25	1
0	17	1
2	29	1
0	26	1
1	24	1
0	15	0
15	19	0
8	2	0
231	19	0
230	73	0
1	109	0
0	3	0
0	27	1
88	8	0
0	22	1
2	4	0
0	26	0
0	15	0
1	5	0
12	43	0
2	4	0
0	18	0
207	39	1
1	32	1
10	21	1
0	8	0
0	7	0
1	12	0
0	20	0
213	26	1
62	17	1
24	15	1
1	4	0
95	63	1
49	6	1
7	11	1
27	45	1
0	17	1
8	38	1
2	18	0
0	12	0
0	17	0
0	22	0
18	47	1
6	25	1
1	15	0
32	72	1
0	27	1
0	31	1
51	48	1
1	28	1
0	12	1
29	30	1
64	61	1
2	35	0
6	5	0
40	6	0
2	23	1
62	17	1
120	27	1
0	88	1
1	14	0
0	9	0
0	30	0
1	22	0
1	25	1
0	9	0
4	19	0
0	86	0
0	9	0
0	10	0
26	32	0
26	15	0
0	24	0
0	5	0
0	28	0
0	23	0
63	28	1
0	4	0
0	59	0
0	9	0
0	23	0
0	35	1
13	14	1
48	10	1
0	19	1
0	6	0
0	20	0
22	30	1
1	20	0
0	15	0
8	50	1
191	40	1
51	46	1
6	37	1
10	17	1
0	26	1
1	13	1
62	27	1
54	40	1
0	9	1
0	17	1
151	28	1
0	47	1
88	64	1
120	61	1
1	8	1
109	19	1
500	108	1
0	27	0
0	19	0
3	29	1
0	48	1
0	0	0
230	58	0
1	0	0
1	7	0
0	14	0
1	19	0
64	51	1
83	47	1
1	55	0
0	98	1
0	8	1
0	8	1
1	35	1
20	26	1
120	41	1
3	12	0
6	29	1
0	94	0
0	18	0
4	28	0
0	33	1
0	48	1
1	9	1
64	53	1
76	35	1
120	27	1
52	65	1
0	89	1
61	15	1
64	28	1
120	61	1
0	20	1
14	26	1
0	32	0
13	103	0
1	32	1
88	38	1
4	20	0
0	13	1
0	21	0
0	14	0
1	12	0
0	18	0
39	33	0
3	32	0
42	19	1
123	21	1
5	25	1
1	7	1
0	23	0
0	5	0
0	5	0
0	22	0
0	30	0
1	4	0
19	21	0
0	31	0
0	87	0
33	9	0
2	33	1
0	10	1
5	60	1
4	22	1
87	40	1
121	50	1
57	29	1
0	35	1
0	75	0
61	25	1
0	29	1
1	2	0
1	22	0
24	25	1
3	31	1
206	37	1
0	24	1
60	51	1
85	28	1
120	27	1
51	34	1
1	88	1
6	21	1
230	13	0
24	19	0
1	1	0
3	22	1
549	11	1
3	39	1
0	21	0
0	29	0
0	55	0
1	35	0
5	28	1
33	20	1
120	13	1
4	9	1
0	12	0
8	22	0
0	20	0
0	16	0
1	3	0
2	27	0
9	38	0
1	26	0
9	45	0
0	14	0
4	0	1
1	23	0
0	27	0
25	24	0
0	25	0
606	33	1
0	44	0
0	29	0
74	18	1
41	4	0
20	37	1
0	24	0
0	31	0
10	41	1
0	4	0
0	17	0
0	23	0
0	30	0
0	28	0
13	24	0
7	25	0
0	23	1
0	15	0
5	12	0
8	22	0
0	12	0
0	20	0
0	31	0
